order_id,lead_time_days,distance_km,supplier_reliability,historical_delay_rate,order_value,delayed,cost_air_freight,cost_secondary_supplier,cost_delay_penalty
ORD-1040,27.3,3096.8,0.65,0.22,520.09,0,6811.72,60.06,24.91
ORD-1041,14.4,1107.8,0.73,0.36,39903.23,0,8912.04,4520.8,1600.57
ORD-1042,24.9,3768.1,0.83,0.09,10356.93,0,9409.53,1397.91,252.4
ORD-1043,13.6,3167.3,0.6,0.28,24971.67,0,10224.75,3123.87,1653.19
ORD-1044,5.0,2154.5,0.59,0.38,26138.91,0,11033.57,2500.09,1779.67
ORD-1045,20.7,4940.1,0.79,0.38,44625.58,1,23040.85,5937.74,2359.46
ORD-1046,27.1,3731.1,0.73,0.1,12738.37,0,11482.94,1435.29,464.64
ORD-1047,4.2,1464.4,0.63,0.13,27237.54,0,8842.27,3285.99,649.72
ORD-1048,13.4,2735.9,0.7,0.08,21297.1,1,12224.07,2889.45,1404.24
ORD-1049,12.7,79.2,0.67,0.3,42745.67,1,10191.73,4471.76,2402.1
ORD-1050,8.2,1136.1,0.71,0.01,17138.41,0,5467.75,1657.95,474.01
ORD-1051,19.4,183.5,0.69,0.23,1841.55,0,679.16,101.34,78.72
ORD-1052,7.9,1667.9,0.87,0.15,37724.49,0,9503.16,1959.35,1975.45
ORD-1053,30.0,1782.3,0.82,0.31,32761.86,0,13629.43,1704.86,954.78
ORD-1054,5.5,3363.8,0.78,0.09,35123.52,0,13896.32,4383.15,943.84
ORD-1055,24.9,4825.4,0.55,0.01,15941.88,1,14099.73,1936.96,391.53
ORD-1056,21.3,3154.8,0.55,0.31,42589.52,1,16782.03,5462.68,1739.02
ORD-1057,14.0,1884.3,0.75,0.14,42553.99,0,12786.44,4832.37,2966.97
ORD-1058,21.8,2205.7,0.86,0.39,13869.08,1,7911.76,1297.56,885.7
ORD-1059,9.5,4266.0,0.91,0.03,44140.74,0,20196.98,3879.92,958.83
ORD-1060,25.8,950.1,0.6,0.32,17346.77,1,6509.74,884.95,1333.68
ORD-1061,4.4,3614.4,0.74,0.3,34685.16,1,17953.97,2057.02,1154.87
ORD-1062,21.4,1565.7,0.78,0.19,26780.64,0,10613.96,3221.32,970.93
ORD-1063,9.0,647.2,0.59,0.05,27025.27,0,5981.82,2659.82,1715.43
ORD-1064,29.3,2647.0,0.64,0.04,10108.82,0,4601.01,1045.39,368.55
ORD-1065,29.3,2789.1,0.84,0.05,43488.83,0,20105.38,4215.79,2019.1
ORD-1066,7.2,304.3,0.96,0.19,41194.72,0,7476.95,2280.58,1192.66
ORD-1067,17.8,1554.0,0.99,0.05,38339.95,0,14069.82,3920.54,1803.16
ORD-1068,14.4,4307.8,0.99,0.12,31240.85,0,21782.19,2211.19,1020.37
ORD-1069,20.5,827.4,0.59,0.03,632.45,0,1479.35,46.26,39.48
ORD-1070,21.7,2297.5,0.84,0.37,39497.49,0,17735.34,3654.07,2080.48
ORD-1071,20.1,4546.6,0.91,0.03,8713.18,0,12334.65,687.13,239.27
ORD-1072,21.3,3513.7,0.96,0.2,24942.86,0,10490.02,2051.11,873.55
ORD-1073,4.6,4811.5,0.91,0.23,47563.92,1,20934.86,2569.55,3109.55
ORD-1074,15.2,3275.0,0.95,0.07,29473.82,0,11192.32,2499.27,1178.91
ORD-1075,20.8,4295.8,0.66,0.28,14766.78,1,13639.78,1409.97,574.0
ORD-1076,11.1,4852.4,0.7,0.21,49411.9,1,21636.79,3397.48,2060.81
ORD-1077,23.2,3145.8,0.87,0.08,27686.37,0,14117.83,1720.5,2170.3
ORD-1078,19.0,1234.5,0.58,0.22,27836.44,0,13188.17,2676.33,752.92
ORD-1079,25.3,2517.0,0.85,0.2,14034.53,0,8600.58,1475.4,603.7
ORD-1080,27.8,2565.8,0.93,0.35,14174.25,0,10662.43,1428.39,981.33
ORD-1081,9.9,1527.9,0.79,0.4,24737.2,0,8957.7,2602.15,1301.32
ORD-1082,14.7,1642.8,0.59,0.28,28803.98,0,10574.56,3585.25,1794.88
ORD-1083,24.7,1961.1,0.83,0.33,49050.5,0,11651.93,5347.39,3540.56
ORD-1084,26.5,2229.5,0.76,0.18,36260.97,0,13105.54,3515.47,2833.88
ORD-1085,11.5,3478.9,0.82,0.34,42690.9,1,15330.39,5202.81,2798.99
ORD-1086,26.4,227.7,0.53,0.25,46085.99,1,14221.32,2757.98,2674.13
ORD-1087,26.4,2246.2,0.84,0.36,2776.55,1,4509.53,179.25,144.02
ORD-1088,17.8,3973.0,0.58,0.03,43606.56,0,19867.68,2804.42,2078.68
ORD-1089,9.1,1313.9,0.5,0.32,45109.87,1,10666.41,3814.34,2492.51
ORD-1090,19.9,2150.3,0.62,0.34,10361.24,0,5725.94,1110.64,564.57
ORD-1091,29.8,1511.4,0.98,0.26,14086.78,0,7807.54,773.43,794.27
ORD-1092,15.9,4525.6,0.64,0.32,30549.72,1,18617.57,3598.04,1932.44
ORD-1093,20.5,4199.8,0.81,0.36,32493.86,0,16806.88,4004.41,825.6
ORD-1094,10.3,3750.0,0.59,0.05,27200.68,1,17569.16,3618.98,963.4
ORD-1095,25.1,2435.1,0.9,0.3,17266.41,0,9035.72,2532.12,1236.42
ORD-1096,22.3,4900.7,0.97,0.32,18605.86,1,13002.53,1776.46,1123.23
ORD-1097,20.8,2943.6,0.9,0.38,5863.13,0,9058.08,622.32,439.24
ORD-1098,8.2,362.9,0.9,0.36,15458.41,0,3800.6,1243.42,766.08
ORD-1099,4.7,4441.9,0.57,0.18,33689.07,1,19592.5,4185.09,986.13
ORD-1100,13.6,540.2,0.74,0.16,47600.32,0,11686.75,6904.69,3395.19
ORD-1101,4.8,3444.1,0.77,0.39,18254.36,0,7716.68,2460.75,863.12
ORD-1102,20.6,3226.4,0.79,0.01,39446.33,0,13779.91,2242.96,2599.89
ORD-1103,7.8,1119.0,0.93,0.13,7803.93,0,4215.13,503.11,216.95
ORD-1104,9.0,913.8,0.82,0.01,1235.59,0,1749.66,83.31,28.6
ORD-1105,22.8,2654.1,0.87,0.19,39011.84,0,12031.23,5638.83,881.74
ORD-1106,23.9,4341.6,0.76,0.18,48219.3,0,19681.05,5719.28,2382.81
ORD-1107,27.5,413.8,0.54,0.24,3751.27,0,1905.28,309.55,298.89
ORD-1108,16.9,2295.9,0.8,0.04,35238.08,0,15699.95,4302.01,1159.38
ORD-1109,14.6,1181.0,0.67,0.18,21091.49,0,7715.93,1844.03,614.99
ORD-1110,27.8,382.3,0.91,0.04,5279.94,0,2456.91,573.65,283.51
ORD-1111,11.2,655.0,0.67,0.27,37639.07,1,12997.47,4141.84,1546.92
ORD-1112,18.2,1103.1,0.82,0.09,5856.81,0,4094.63,629.08,400.8
ORD-1113,25.7,4874.0,0.9,0.25,32313.61,0,23811.04,2479.9,996.07
ORD-1114,21.7,1579.5,0.67,0.0,43558.2,0,12052.9,4935.89,951.29
ORD-1115,22.9,1114.9,0.71,0.14,18817.63,0,8126.81,1100.75,435.75
ORD-1116,6.4,3108.3,0.83,0.11,33265.97,0,12737.37,4174.69,892.49
ORD-1117,14.0,1452.1,0.83,0.19,33523.06,0,10871.21,1701.92,1276.73
ORD-1118,7.9,729.3,0.63,0.13,882.63,0,1447.28,106.24,44.15
ORD-1119,25.3,4040.7,0.54,0.34,2593.96,0,11874.74,279.05,141.12
ORD-1120,21.9,2117.6,0.56,0.01,16576.02,0,10177.01,2353.41,419.17
ORD-1121,25.6,1254.4,0.79,0.21,20090.45,0,6467.76,1342.31,1017.16
ORD-1122,5.2,2574.3,0.94,0.14,36505.27,0,15217.17,2359.86,1162.19
ORD-1123,18.9,3813.1,0.82,0.07,38755.98,0,21269.33,3677.58,2924.11
ORD-1124,17.8,3194.7,0.81,0.35,31547.26,0,11183.08,2532.68,1150.86
ORD-1125,3.6,2561.3,0.65,0.18,3316.06,1,7536.81,449.42,188.69
ORD-1126,16.2,2340.4,0.77,0.32,44845.9,0,19381.79,3684.21,2176.72
ORD-1127,6.2,356.3,0.55,0.36,17500.17,1,4870.23,1308.56,809.65
ORD-1128,14.3,2637.6,0.58,0.15,14503.23,0,8948.54,1869.8,853.35
ORD-1129,3.8,517.8,0.83,0.11,36324.82,0,13455.44,3027.17,1996.57
ORD-1130,6.0,1781.6,0.97,0.28,19901.92,0,9603.6,1744.76,1343.37
ORD-1131,24.8,3367.1,0.91,0.3,34428.01,0,15830.87,2967.1,1437.57
ORD-1132,7.0,1110.3,0.96,0.19,11713.88,0,4923.3,704.17,776.07
ORD-1133,25.4,4424.2,0.52,0.13,38432.23,0,14520.3,5116.66,2546.75
ORD-1134,24.7,869.4,0.71,0.16,33979.96,0,9480.6,4242.52,1594.87
ORD-1135,17.0,1581.9,0.9,0.19,41838.11,0,18897.41,4023.49,1544.09
ORD-1136,12.7,2660.9,0.97,0.33,40162.33,0,14105.62,5518.77,2139.55
ORD-1137,4.9,4237.2,0.92,0.11,38274.28,0,18157.02,3588.11,2938.88
ORD-1138,8.2,2283.1,0.67,0.01,3136.22,0,7442.63,274.39,68.03
ORD-1139,28.1,4203.9,0.82,0.32,7311.18,0,12366.32,467.03,455.72
ORD-1140,14.6,76.0,0.54,0.1,41830.67,0,12514.97,2556.64,1559.7
ORD-1141,10.4,286.4,0.71,0.32,23127.12,0,8283.97,1194.37,1177.69
ORD-1142,8.8,760.7,0.71,0.25,12407.93,0,4400.84,1829.74,298.54
ORD-1143,16.7,2561.3,0.98,0.22,19827.46,0,13081.64,1494.3,415.87
ORD-1144,24.1,1756.8,0.86,0.25,38689.32,0,10288.96,4046.96,2662.23
ORD-1145,6.9,3906.8,0.73,0.28,31770.92,1,15138.23,3042.64,1194.79
ORD-1146,3.2,1037.4,0.52,0.37,26011.49,1,8289.71,3260.0,818.48
ORD-1147,12.0,3915.2,0.92,0.13,6661.51,0,11919.89,929.04,287.77
ORD-1148,29.3,2506.2,0.74,0.37,26204.15,1,10642.95,2888.89,1817.01
ORD-1149,17.3,1640.0,0.54,0.26,15671.54,1,7588.74,1334.51,353.26
ORD-1150,26.4,1795.2,0.99,0.11,49011.35,0,12171.4,4231.2,3335.99
ORD-1151,21.0,4766.3,0.57,0.24,39174.94,0,18590.59,3393.84,1683.4
ORD-1152,17.9,3045.2,0.83,0.38,18914.66,1,11278.13,1698.6,1115.47
ORD-1153,9.0,611.6,0.86,0.2,19655.88,0,4907.46,1859.98,1568.18
ORD-1154,10.0,4586.6,0.74,0.05,42714.9,0,22754.33,2510.74,2602.01
ORD-1155,25.7,1632.0,0.67,0.03,27337.48,0,12710.79,3901.95,1592.74
ORD-1156,24.2,2568.3,0.56,0.08,7374.41,1,6559.01,640.77,503.08
ORD-1157,17.4,3079.1,0.54,0.12,49979.95,1,20567.61,6614.04,1220.76
ORD-1158,29.2,3229.6,0.72,0.27,17553.48,1,12734.44,1197.08,1368.75
ORD-1159,14.1,4558.0,0.53,0.05,8074.27,0,12756.46,683.1,617.31
ORD-1160,27.1,4237.4,0.62,0.25,27766.65,0,14605.2,2783.81,836.28
ORD-1161,28.4,813.3,0.82,0.29,30454.38,0,10156.71,1609.13,692.16
ORD-1162,20.0,2905.0,0.82,0.31,21121.05,0,11820.8,1667.87,1634.75
ORD-1163,15.5,4033.2,0.84,0.12,4112.16,0,8917.73,289.51,231.92
ORD-1164,10.8,3605.9,0.86,0.34,48781.02,0,18588.64,3995.73,2340.92
ORD-1165,9.5,1277.2,0.55,0.12,19515.42,0,7383.87,1287.43,773.71
ORD-1166,18.2,1597.9,0.87,0.2,25978.88,0,7171.91,3754.55,1307.43
ORD-1167,29.1,1115.0,0.67,0.02,24997.26,0,9184.94,2591.44,1770.56
ORD-1168,14.1,4418.2,0.86,0.31,18613.9,0,11053.37,1960.46,454.4
ORD-1169,16.1,3833.8,0.64,0.4,34179.73,0,18646.67,4425.92,1378.99
ORD-1170,28.3,3787.1,0.6,0.2,25253.86,0,10789.84,2459.08,1197.52
ORD-1171,19.0,2601.8,0.66,0.25,8543.85,1,6703.8,714.58,595.48
ORD-1172,16.9,3558.3,0.65,0.33,18733.71,1,14193.76,2429.3,1189.96
ORD-1173,21.3,181.9,0.73,0.39,39253.75,0,10867.27,4253.24,1186.67
ORD-1174,19.6,3117.7,0.91,0.06,34195.98,0,15417.3,1774.56,1327.54
ORD-1175,6.2,3468.0,0.7,0.31,46065.79,1,17589.24,2939.38,1494.4
ORD-1176,11.1,3328.0,0.76,0.13,9072.53,1,7668.17,1154.02,573.89
ORD-1177,20.0,3481.9,0.8,0.08,12702.7,0,12733.74,1013.19,474.32
ORD-1178,7.8,3539.7,0.66,0.14,46718.17,1,13965.31,5496.96,1998.68
ORD-1179,29.4,4101.0,0.97,0.32,14877.41,0,11298.4,1402.01,526.46
ORD-1180,15.4,1050.2,0.76,0.37,34960.48,0,11831.72,2595.67,2104.27
ORD-1181,16.9,3207.8,0.53,0.17,36009.22,0,14193.36,3782.24,2727.55
ORD-1182,13.4,4678.4,0.93,0.19,10373.07,1,12944.2,1460.46,263.14
ORD-1183,18.1,2699.0,0.85,0.37,45704.87,0,18568.22,6488.42,3648.63
ORD-1184,13.1,2502.2,0.96,0.38,46338.97,0,12381.24,2814.17,3659.83
ORD-1185,10.0,4946.0,0.77,0.2,46958.74,1,18292.63,2876.91,1397.01
ORD-1186,14.8,1323.5,0.59,0.29,39643.0,0,13738.68,5376.17,2926.55
ORD-1187,25.2,2600.6,0.54,0.27,9646.67,0,5962.08,733.9,329.25
ORD-1188,23.1,4772.5,0.65,0.29,1066.07,1,5673.1,65.91,40.95
ORD-1189,13.4,2537.5,0.94,0.28,15893.41,0,9330.91,1771.52,526.83
ORD-1190,5.7,808.3,0.87,0.24,21084.36,0,6825.33,2454.42,697.99
ORD-1191,8.9,3786.0,0.93,0.03,22614.02,0,11803.23,1270.36,1195.35
ORD-1192,16.2,2884.9,0.57,0.13,26256.91,0,11266.72,1551.63,1329.19
ORD-1193,24.6,2294.5,0.75,0.18,3357.97,0,6659.25,300.86,231.66
ORD-1194,22.9,2912.6,0.52,0.14,3656.12,1,4546.46,524.21,80.08
ORD-1195,13.4,3856.4,0.88,0.39,32471.1,0,18124.88,4447.31,2416.05
ORD-1196,12.5,3429.5,0.82,0.22,32849.94,0,13214.62,3379.74,2091.6
ORD-1197,8.2,67.2,0.51,0.12,33838.24,0,8853.54,2529.45,1379.57
ORD-1198,9.7,4690.2,0.86,0.05,40569.17,0,25281.2,2091.93,1313.02
ORD-1199,4.8,216.2,0.79,0.28,2909.48,0,988.03,208.69,208.97
ORD-1200,3.6,2544.3,0.64,0.33,36710.12,0,15862.99,3012.67,1398.87
ORD-1201,6.0,3318.1,0.61,0.12,3517.4,1,10513.98,396.06,160.51
ORD-1202,15.9,4862.8,0.96,0.27,39397.33,0,15504.05,3453.02,2571.27
ORD-1203,15.3,4254.2,0.65,0.28,40385.92,1,23088.89,4269.95,1132.65
ORD-1204,8.8,1056.5,0.82,0.37,42433.1,0,13973.23,3260.82,2563.82
ORD-1205,18.9,4374.4,0.59,0.3,36353.11,1,20919.71,3028.08,2814.5
ORD-1206,2.4,4688.9,0.97,0.05,49978.81,0,20278.58,3521.07,3743.79
ORD-1207,17.5,3888.8,0.69,0.21,18283.35,0,12374.13,1094.46,1442.17
ORD-1208,15.1,4206.7,0.95,0.15,20989.54,0,9511.73,1596.83,1597.0
ORD-1209,18.2,2117.0,0.57,0.13,19302.07,1,9711.43,2287.0,684.06
ORD-1210,25.0,4834.2,0.81,0.2,8827.57,1,13421.46,872.44,662.19
ORD-1211,17.2,3227.0,0.53,0.01,42411.52,1,20189.78,3869.59,2992.25
ORD-1212,8.5,3550.5,0.5,0.2,18973.43,1,13304.54,1865.48,934.84
ORD-1213,2.2,2780.6,0.51,0.21,14099.67,1,9466.02,1655.35,964.0
ORD-1214,27.5,579.7,0.55,0.06,10000.64,0,4020.27,896.95,423.86
ORD-1215,13.4,2846.8,0.99,0.09,34360.06,0,17379.65,4327.94,879.96
ORD-1216,12.6,2785.9,0.53,0.0,8983.49,0,9283.42,957.51,642.12
ORD-1217,4.7,2664.4,0.52,0.08,43471.79,1,13567.46,2496.79,3283.65
ORD-1218,27.2,2839.4,0.52,0.37,16066.99,1,11407.73,1948.46,705.3
ORD-1219,4.2,854.1,0.62,0.33,19763.25,1,6420.53,1264.75,1567.4
ORD-1220,22.3,2528.9,0.98,0.02,22135.87,0,11246.62,3220.46,969.6
ORD-1221,23.7,196.6,0.63,0.4,24784.87,0,8749.35,2923.86,1478.18
ORD-1222,4.4,3112.1,0.89,0.29,4560.88,0,8390.93,565.39,177.88
ORD-1223,5.0,75.7,0.65,0.14,13853.44,0,2740.88,1461.18,616.24
ORD-1224,2.7,1801.9,0.55,0.24,16559.3,0,6649.9,968.22,1226.52
ORD-1225,27.3,4892.0,0.78,0.07,19346.24,0,13783.81,1089.71,891.49
ORD-1226,13.8,2446.9,0.54,0.1,12706.21,0,6818.81,771.23,486.39
ORD-1227,28.6,1694.5,0.8,0.32,16812.31,0,9871.23,2478.51,473.56
ORD-1228,11.0,4739.0,0.6,0.13,48246.44,1,21375.04,4781.26,2631.98
ORD-1229,8.8,1911.5,0.9,0.16,6137.45,0,5645.01,725.27,325.32
ORD-1230,28.7,2335.0,0.85,0.18,14920.89,0,10732.79,1356.52,745.42
ORD-1231,19.7,1248.0,0.82,0.29,39559.3,0,16216.35,3563.52,1993.66
ORD-1232,27.8,3474.0,0.77,0.32,18296.71,1,12617.31,1070.32,1210.09
ORD-1233,20.4,1807.3,0.82,0.02,49188.61,0,15837.57,7209.66,2254.18
ORD-1234,2.3,1330.8,0.75,0.21,29235.66,0,9363.72,3719.78,1617.18
ORD-1235,16.0,1757.6,0.51,0.04,21090.78,1,8717.48,1353.34,816.5
ORD-1236,14.7,1074.0,0.74,0.19,22189.21,0,6462.62,2907.2,597.0
ORD-1237,25.8,3257.5,0.83,0.07,49203.07,0,13397.97,5214.78,3813.62
ORD-1238,8.5,2055.0,0.59,0.26,21890.66,0,8838.24,2390.9,948.53
ORD-1239,21.7,1068.6,0.87,0.32,3596.91,0,2634.99,297.1,170.68
ORD-1240,9.3,4320.1,0.76,0.26,30050.06,1,15361.65,4043.29,1714.11
ORD-1241,24.8,3544.6,0.65,0.25,4695.22,0,6524.46,320.7,289.25
ORD-1242,16.3,2120.3,0.57,0.15,9694.81,0,7655.35,1454.12,516.68
ORD-1243,15.7,744.5,0.65,0.18,3153.76,0,1426.91,414.79,245.46
ORD-1244,16.2,2500.1,0.84,0.17,42074.64,0,9661.27,5305.85,1578.87
ORD-1245,9.7,2711.2,0.58,0.18,37254.65,1,13009.24,2288.21,2477.69
ORD-1246,25.1,1866.0,0.9,0.02,36089.52,0,14805.75,4800.16,2348.73
ORD-1247,10.3,4996.6,0.72,0.14,40928.06,0,27023.0,3016.18,2809.39
ORD-1248,18.5,1785.6,0.85,0.25,8716.09,0,4192.23,487.54,357.79
ORD-1249,9.9,2716.9,0.66,0.28,14822.0,0,12838.65,1747.96,381.13
ORD-1250,29.0,3939.2,0.95,0.4,43418.86,0,19939.92,5259.74,3026.68
